condition,compound_key,source_ids,review_reasons,candidate_count,hidden_positive_count,marginal_first_hit,bounded_first_hit,unbounded_first_hit,bounded_delay_vs_marginal,unbounded_delay_vs_marginal,bounded_audc_difference,unbounded_audc_difference,marginal_first_target_key,marginal_first_target_id,marginal_first_target_name,bounded_first_target_key,bounded_first_target_id,bounded_first_target_name,unbounded_first_target_key,unbounded_first_target_id,unbounded_first_target_name
pkis1_gt80_sensitivity,V0023,CHEMBL476259,broad_profile_ge_20_positives,200,24,1,1,1,0,0,0.0,0.0,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor
pkis1_gt80_sensitivity,V0025,CHEMBL477069,broad_profile_ge_20_positives,200,23,1,1,1,0,0,0.0,0.0,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor
pkis1_gt80_sensitivity,V0050,CHEMBL1909349,broad_profile_ge_20_positives,200,27,1,1,1,0,0,0.0,0.0,P0084,CHEMBL3616,Protein kinase C eta,P0084,CHEMBL3616,Protein kinase C eta,P0084,CHEMBL3616,Protein kinase C eta
pkis1_gt80_sensitivity,V0068,CHEMBL1909362,unbounded_delay_ge_10;large_bounded_loss,200,1,3,12,21,9,18,-0.45,-0.9,P0096,CHEMBL3935,Serine/threonine-protein kinase Aurora-C,P0096,CHEMBL3935,Serine/threonine-protein kinase Aurora-C,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0076,CHEMBL188381,broad_profile_ge_20_positives,200,24,1,1,1,0,0,0.0,0.0,P0011,CHEMBL1936,Stem cell growth factor receptor,P0011,CHEMBL1936,Stem cell growth factor receptor,P0011,CHEMBL1936,Stem cell growth factor receptor
pkis1_gt80_sensitivity,V0085,CHEMBL218932,unbounded_delay_ge_10;large_bounded_loss,200,1,3,12,21,9,18,-0.45,-0.9,P0197,CHEMBL6082,Serine/threonine-protein kinase SIK1,P0197,CHEMBL6082,Serine/threonine-protein kinase SIK1,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0088,CHEMBL218859,unbounded_delay_ge_10;large_bounded_loss,200,1,7,16,21,9,14,-0.44999999999999996,-0.7,P0102,CHEMBL3988,Ephrin type-A receptor 4,P0102,CHEMBL3988,Ephrin type-A receptor 4,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0101,CHEMBL1909365,unbounded_delay_ge_10;large_bounded_loss,199,4,4,11,19,7,15,-0.35,-0.75,P0160,CHEMBL5122,Discoidin domain-containing receptor 2,P0102,CHEMBL3988,Ephrin type-A receptor 4,P0102,CHEMBL3988,Ephrin type-A receptor 4
pkis1_gt80_sensitivity,V0102,CHEMBL1794052,unbounded_delay_ge_10;large_bounded_loss,200,4,2,11,21,9,19,-0.44999999999999996,-0.95,P0199,CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,P0199,CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0108,CHEMBL467581,unbounded_delay_ge_10,200,2,2,8,21,6,19,-0.29999999999999993,-0.95,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0113,CHEMBL458865,broad_profile_ge_20_positives,200,20,1,1,1,0,0,0.0,0.0,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor
pkis1_gt80_sensitivity,V0119,CHEMBL519881,unbounded_delay_ge_10;large_bounded_loss,200,1,2,11,21,9,19,-0.44999999999999996,-0.95,P0164,CHEMBL5257,Serine/threonine-protein kinase NEK9,P0164,CHEMBL5257,Serine/threonine-protein kinase NEK9,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0131,CHEMBL373751,unbounded_delay_ge_10;large_bounded_loss,200,9,2,11,12,9,10,-0.44999999999999996,-0.49999999999999994,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0199,CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4
pkis1_gt80_sensitivity,V0137,CHEMBL202891,unbounded_delay_ge_10;large_bounded_loss,200,1,3,12,21,9,18,-0.45,-0.9,P0199,CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,P0199,CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0146,CHEMBL1909396,broad_profile_ge_20_positives,200,30,1,1,1,0,0,0.0,0.0,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha
pkis1_gt80_sensitivity,V0151,CHEMBL1956068,large_bounded_loss,200,18,2,10,10,8,8,-0.3999999999999999,-0.3999999999999999,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0174,CHEMBL5469,Protein tyrosine kinase 2 beta,P0199,CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4
pkis1_gt80_sensitivity,V0153,CHEMBL237571,unbounded_delay_ge_10;large_bounded_loss,200,2,2,11,21,9,19,-0.44999999999999996,-0.95,P0099,CHEMBL3981,Serine/threonine-protein kinase 10,P0099,CHEMBL3981,Serine/threonine-protein kinase 10,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0154,CHEMBL399410,unbounded_delay_ge_10;large_bounded_loss,200,1,3,12,21,9,18,-0.45,-0.9,P0110,CHEMBL4128,Tyrosine-protein kinase TIE-2,P0110,CHEMBL4128,Tyrosine-protein kinase TIE-2,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0171,CHEMBL176857,unbounded_delay_ge_10;large_bounded_loss,200,5,6,15,21,9,15,-0.45,-0.75,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0213,CHEMBL581096,broad_profile_ge_20_positives,200,23,2,2,2,0,0,0.0,0.0,P0007,CHEMBL1862,Tyrosine-protein kinase ABL,P0018,CHEMBL203,Epidermal growth factor receptor erbB1,P0018,CHEMBL203,Epidermal growth factor receptor erbB1
pkis1_gt80_sensitivity,V0214,CHEMBL237347,broad_profile_ge_20_positives,199,26,1,1,1,0,0,0.0,0.0,P0011,CHEMBL1936,Stem cell growth factor receptor,P0011,CHEMBL1936,Stem cell growth factor receptor,P0011,CHEMBL1936,Stem cell growth factor receptor
pkis1_gt80_sensitivity,V0231,CHEMBL1516890,unbounded_delay_ge_10;large_bounded_loss,200,1,10,19,21,9,11,-0.45000000000000007,-0.55,P0019,CHEMBL2041,Tyrosine-protein kinase receptor RET,P0019,CHEMBL2041,Tyrosine-protein kinase receptor RET,CENSORED,CENSORED,CENSORED
pkis1_gt80_sensitivity,V0286,CHEMBL409892,broad_profile_ge_20_positives,200,23,1,1,1,0,0,0.0,0.0,P0066,CHEMBL301,Cyclin-dependent kinase 2,P0066,CHEMBL301,Cyclin-dependent kinase 2,P0066,CHEMBL301,Cyclin-dependent kinase 2
pkis1_gt80_sensitivity,V0334,CHEMBL1880739,unbounded_delay_ge_10;large_bounded_loss,200,3,2,11,21,9,19,-0.44999999999999996,-0.95,P0199,CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,P0199,CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0033,CHEMBL188426,unbounded_delay_ge_10;large_bounded_loss,200,1,9,16,21,7,12,-0.35,-0.6,P0116,CHEMBL4225,Dual specificity protein kinase CLK2,P0116,CHEMBL4225,Dual specificity protein kinase CLK2,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0039,CHEMBL179311,unbounded_delay_ge_10;large_bounded_loss,199,2,3,12,21,9,18,-0.45,-0.9,P0011,CHEMBL1936,Stem cell growth factor receptor,P0011,CHEMBL1936,Stem cell growth factor receptor,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0041,CHEMBL1909358,large_bounded_gain,200,3,16,7,5,-9,-11,0.44999999999999996,0.55,P0007,CHEMBL1862,Tyrosine-protein kinase ABL,P0007,CHEMBL1862,Tyrosine-protein kinase ABL,P0007,CHEMBL1862,Tyrosine-protein kinase ABL
pkis1_gt90_leave10_nearest,V0048,CHEMBL1909350,unbounded_delay_ge_10;large_bounded_loss,199,1,10,19,21,9,11,-0.45000000000000007,-0.55,P0084,CHEMBL3616,Protein kinase C eta,P0084,CHEMBL3616,Protein kinase C eta,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0068,CHEMBL1909362,unbounded_delay_ge_10,200,1,10,15,21,5,11,-0.25000000000000006,-0.55,P0096,CHEMBL3935,Serine/threonine-protein kinase Aurora-C,P0096,CHEMBL3935,Serine/threonine-protein kinase Aurora-C,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0096,CHEMBL1909371,unbounded_delay_ge_10;large_bounded_loss,200,1,2,11,21,9,19,-0.44999999999999996,-0.95,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0106,CHEMBL66004,large_bounded_gain,200,1,18,9,7,-9,-11,0.44999999999999996,0.5499999999999999,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_leave10_nearest,V0108,CHEMBL467581,unbounded_delay_ge_10;large_bounded_loss,200,1,7,16,21,9,14,-0.44999999999999996,-0.7,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0110,CHEMBL1789961,large_bounded_gain,200,1,21,12,14,-9,-7,0.45,0.35,CENSORED,CENSORED,CENSORED,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A
pkis1_gt90_leave10_nearest,V0114,CHEMBL514261,unbounded_delay_ge_10;large_bounded_loss,200,3,4,13,21,9,17,-0.44999999999999996,-0.85,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0115,CHEMBL458438,unbounded_delay_ge_10;large_bounded_loss,200,1,9,16,21,7,12,-0.35,-0.6,P0174,CHEMBL5469,Protein tyrosine kinase 2 beta,P0174,CHEMBL5469,Protein tyrosine kinase 2 beta,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0122,CHEMBL458415,unbounded_delay_ge_10;large_bounded_loss,199,3,11,18,21,7,10,-0.35,-0.5,P0013,CHEMBL1957,Insulin-like growth factor I receptor,P0013,CHEMBL1957,Insulin-like growth factor I receptor,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0151,CHEMBL1956068,unbounded_delay_ge_10;large_bounded_loss,200,5,2,11,21,9,19,-0.44999999999999996,-0.95,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,CENSORED,CENSORED,CENSORED
