condition,comparison_name,dataset,comparison,n,estimate,ci95,permutation_p_two_sided,mean_assays_earlier,wins,losses,ties,large_advance_ge_10,large_delay_ge_10
klaeger_delta_0_5,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.022972972972972974,"[-0.00766891891891891, 0.05585585585585587]",0.17596824031759684,0.4594594594594595,16,11,84,2,1
klaeger_delta_0_5,conformal_coverage_minus_original_marginal,KLAEGER_CHEMBL30,CONFORMAL_COVERAGE - ORIGINAL_MARGINAL,111,0.007207207207207207,"[-0.0076576576576576575, 0.02657657657657658]",0.5633143668563314,0.14414414414414414,3,2,106,1,0
klaeger_delta_0_5,conformal_coverage_minus_original_coverage,KLAEGER_CHEMBL30,CONFORMAL_COVERAGE - ORIGINAL_COVERAGE,111,-0.015765765765765768,"[-0.04324324324324325, 0.010810810810810804]",0.28078719212807873,-0.3153153153153153,9,13,89,1,1
klaeger_leave10_nearest,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.022972972972972967,"[-0.004954954954954955, 0.049549549549549536]",0.1030089699103009,0.4594594594594595,22,6,83,0,2
klaeger_leave10_nearest,conformal_coverage_minus_original_marginal,KLAEGER_CHEMBL30,CONFORMAL_COVERAGE - ORIGINAL_MARGINAL,111,0.015315315315315313,"[-0.009459459459459462, 0.03918918918918918]",0.22696773032269676,0.3063063063063063,17,5,89,0,2
klaeger_leave10_nearest,conformal_coverage_minus_original_coverage,KLAEGER_CHEMBL30,CONFORMAL_COVERAGE - ORIGINAL_COVERAGE,111,-0.0076576576576576575,"[-0.021171171171171167, 0.004054054054054053]",0.28324716752832474,-0.15315315315315314,1,5,105,0,0
klaeger_primary_standard,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.0009009009009009022,"[-0.025675675675675677, 0.02702702702702703]",0.9745002549974501,0.018018018018018018,19,13,79,1,2
klaeger_primary_standard,conformal_coverage_minus_original_marginal,KLAEGER_CHEMBL30,CONFORMAL_COVERAGE - ORIGINAL_MARGINAL,111,0.005405405405405407,"[0.001351351351351351, 0.010810810810810813]",0.06204937950620494,0.10810810810810811,5,0,106,0,0
klaeger_primary_standard,conformal_coverage_minus_original_coverage,KLAEGER_CHEMBL30,CONFORMAL_COVERAGE - ORIGINAL_COVERAGE,111,0.004504504504504504,"[-0.021171171171171167, 0.03153153153153153]",0.7716722832771672,0.09009009009009009,13,14,84,2,1
klaeger_scaffold_exclusion,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.001351351351351353,"[-0.025675675675675677, 0.027477477477477467]",0.9495405045949541,0.02702702702702703,19,13,79,1,2
klaeger_scaffold_exclusion,conformal_coverage_minus_original_marginal,KLAEGER_CHEMBL30,CONFORMAL_COVERAGE - ORIGINAL_MARGINAL,111,0.005405405405405407,"[0.001351351351351351, 0.010810810810810813]",0.061699383006169936,0.10810810810810811,5,0,106,0,0
klaeger_scaffold_exclusion,conformal_coverage_minus_original_coverage,KLAEGER_CHEMBL30,CONFORMAL_COVERAGE - ORIGINAL_COVERAGE,111,0.0040540540540540525,"[-0.02207207207207207, 0.031081081081081083]",0.7976720232797672,0.08108108108108109,13,14,84,2,1
pkis2_gt80_sensitivity,original_coverage_minus_original_marginal,PKIS2,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,640,-0.026796875000000005,"[-0.043439453125, -0.010390624999999997]",0.001909980900190998,-0.5359375,57,69,514,12,35
pkis2_gt80_sensitivity,conformal_coverage_minus_original_marginal,PKIS2,CONFORMAL_COVERAGE - ORIGINAL_MARGINAL,640,-0.00390625,"[-0.010624999999999999, 0.002265625]",0.25800741992580073,-0.078125,13,11,616,1,6
pkis2_gt80_sensitivity,conformal_coverage_minus_original_coverage,PKIS2,CONFORMAL_COVERAGE - ORIGINAL_COVERAGE,640,0.022890624999999998,"[0.007734374999999999, 0.038593749999999996]",0.0036599634003659965,0.4578125,58,44,538,29,11
pkis2_gt90_chemotype,original_coverage_minus_original_marginal,PKIS2,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,640,0.053671874999999994,"[0.033437499999999995, 0.073515625]",9.99990000099999e-06,1.0734375,187,48,405,55,25
pkis2_gt90_chemotype,conformal_coverage_minus_original_marginal,PKIS2,CONFORMAL_COVERAGE - ORIGINAL_MARGINAL,640,0.04203125,"[0.023671874999999995, 0.059843749999999994]",9.99990000099999e-06,0.840625,148,37,455,45,21
pkis2_gt90_chemotype,conformal_coverage_minus_original_coverage,PKIS2,CONFORMAL_COVERAGE - ORIGINAL_COVERAGE,640,-0.011640624999999998,"[-0.020624999999999998, -0.002812499999999999]",0.00954990450095499,-0.2328125,11,39,590,4,10
pkis2_gt90_scaffold,original_coverage_minus_original_marginal,PKIS2,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,640,-0.002500000000000001,"[-0.020626953125000003, 0.014843749999999998]",0.7892321076789232,-0.05,113,64,463,23,32
