compound_key,target_key,mec_id,action_type,mechanism_of_action
C0001,T0083,511,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor
C0001,T0145,1518,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor
C0002,T0022,5289,INHIBITOR,Cyclin-dependent kinase 6 inhibitor
C0002,T0060,5290,INHIBITOR,Cyclin-dependent kinase 9 inhibitor
C0002,T0067,5287,INHIBITOR,Cyclin-dependent kinase 2 inhibitor
C0002,T0076,5291,INHIBITOR,Cyclin-dependent kinase 1 inhibitor
C0002,T0089,5292,INHIBITOR,Cyclin-dependent kinase 7 inhibitor
C0002,T0092,5288,INHIBITOR,Cyclin-dependent kinase 4 inhibitor
C0003,T0002,245,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor
C0004,T0020,683,INHIBITOR,Tyrosine-protein kinase SRC inhibitor
C0004,T0125,984,INHIBITOR,Tyrosine-protein kinase BRK inhibitor
C0004,T0145,1519,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor
C0005,T0002,5277,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor
C0006,T0001,302,INHIBITOR,Tyrosine-protein kinase ABL inhibitor
C0006,T0020,682,INHIBITOR,Tyrosine-protein kinase SRC inhibitor
C0006,T0070,926,INHIBITOR,Tyrosine-protein kinase HCK inhibitor
C0006,T0071,940,INHIBITOR,Tyrosine-protein kinase Lyn inhibitor
C0007,T0060,4166,INHIBITOR,Cyclin-dependent kinase 9 inhibitor
C0007,T0067,4164,INHIBITOR,Cyclin-dependent kinase 2 inhibitor
C0007,T0089,4165,INHIBITOR,Cyclin-dependent kinase 7 inhibitor
C0008,T0002,244,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor
C0009,T0001,304,INHIBITOR,Tyrosine-protein kinase ABL inhibitor
C0009,T0004,418,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor
C0009,T0006,451,INHIBITOR,Stem cell growth factor receptor inhibitor
C0010,T0063,5300,INHIBITOR,Protein kinase C beta inhibitor
C0011,T0004,4769,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor
C0011,T0083,4767,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor
C0012,T0004,417,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor
C0012,T0083,510,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor
C0012,T0145,1517,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor
C0012,T0150,994,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor
