target_key,tid,classification_paths_json,deepest_level
T0001,8,"[[0,1,6,1100,1285,130]]",5
T0002,9,"[[0,1,6,1100,1285,149]]",5
T0003,35,"[[0,1,6,1100,1285,151]]",5
T0004,197,"[[0,1,6,1100,1285,159]]",5
T0005,234,"[[0,1,6,1100,1285,151]]",5
T0006,238,"[[0,1,6,1100,1285,159]]",5
T0007,10120,"[[0,1,6,1100,148,249,332]]",6
T0008,10140,"[[0,1,6,1100,1285,141]]",5
T0009,10188,"[[0,1,6,1100,148,249,332]]",6
T0010,10197,"[[0,1,6,1100,148,239]]",5
T0011,10207,"[[0,1,6,1100,1289,205]]",5
T0012,10216,"[[0,1,6,1100,1289,206,303]]",6
T0013,10235,"[[0,1,6,1100,1331,298]]",5
T0014,10250,"[[0,1,6,1100,1339,246]]",5
T0015,10262,"[[0,1,6,1100,1301,210]]",5
T0016,10266,"[[0,1,6,1100,1285,150]]",5
T0017,10277,"[[0,1,6,1100,1331,262,343]]",6
T0018,10368,"[[0,1,6,1100,1301,210]]",5
T0019,10371,"[[0,1,6,1100,1331,298]]",5
T0020,10434,"[[0,1,6,1100,1285,141]]",5
T0021,10478,"[[0,1,6,1100,1331,298]]",5
T0022,10480,"[[0,1,6,1100,148]]",4
T0023,10695,"[[0,1,6,1100,1289,203]]",5
T0024,10696,"[[0,1,6,1100,1289,203]]",5
T0025,10711,"[[0,1,6,1100,1289,1618,302]]",6
T0026,10781,"[[0,1,6,1100,158,251]]",5
T0027,10782,"[[0,1,6,1100,1289,1648,287],[0,1,6,1100,1339,1690,385]]",6
T0028,10811,"[[0,1,6,1100,1289,1668,315]]",6
T0029,10839,"[[0,1,6,1100,1339,235]]",5
T0030,10842,"[[0,1,6,1100,1289,208]]",5
T0031,10844,"[[0,1,6,1100,1285,134]]",5
T0032,10850,"[[0,1,6,1100,1289,1648,287],[0,1,6,1100,1339,1690,385]]",6
T0033,10885,"[[0,1,6,1100,1339,236]]",5
T0034,10901,"[[0,1,6,1100,1289,206,303]]",6
T0035,10906,"[[0,1,6,1100,1285,142]]",5
T0036,10907,"[[0,1,6,1100,158,257]]",5
T0037,10919,"[[0,1,6,1100,1285,152],[0,1,6,1100,1285,153]]",5
T0038,10929,"[[0,1,6,1100,1289,1648,289],[0,1,6,1100,1339,1690,386]]",6
T0039,10938,"[[0,1,6,1100,1285,152],[0,1,6,1100,1285,153]]",5
T0040,10939,"[[0,1,6,1100,1289,1648,289],[0,1,6,1100,1339,1690,386]]",6
T0041,10967,"[[0,1,6,1100,1301,210]]",5
T0042,10971,"[[0,1,6,1100,1339,1702]]",5
T0043,11017,"[[0,1,6,1100,148,239]]",5
T0044,11019,"[[0,1,6,1100,1289,207]]",5
T0045,11046,"[[0,1,6,1100,1331,298]]",5
T0046,11047,"[[0,1,6,1100,1331,298]]",5
T0047,11082,"[[0,1,6,1100,1339,1713,472]]",6
T0048,11105,"[[0,1,6,1100,1339,1713,472]]",6
T0049,11149,"[[0,1,6,1100,1289,1668,315]]",6
T0050,11209,"[[0,1,6,1100,1285,130]]",5
T0051,11242,"[[0,1,6,1100,1285,136]]",5
T0052,11364,"[[0,1,6,1100,1339,1702,409]]",6
T0053,11379,"[[0,1,6,1100,1285,139]]",5
T0054,11407,"[[0,1,6,1100,148,249,330]]",6
T0055,11408,"[[0,1,6,1100,148,249,330]]",6
T0056,11409,"[[0,1,6,1100,1331,298]]",5
T0057,11451,"[[0,1,6,1100,1285,139]]",5
T0058,11569,"[[0,1,6,1100,1285,135]]",5
T0059,11622,"[[0,1,6,1100,1339,269]]",5
T0060,11626,"[[0,1,6,1100,148,237,328]]",6
T0061,11629,"[[0,1,6,1100,1301,210]]",5
T0062,11635,"[[0,1,6,1100,1289,206,317]]",6
T0063,11636,"[[0,1,6,1100,1289,206,317]]",6
T0064,11637,"[[0,1,6,1100,1289,208]]",5
