condition,comparison_name,dataset,comparison,n,estimate,ci95,permutation_p_two_sided,mean_assays_earlier,wins,losses,ties,large_advance_ge_10,large_delay_ge_10
klaeger_delta_0_5,invariant_marginal_minus_original_marginal,KLAEGER_CHEMBL30,INVARIANT_MARGINAL - ORIGINAL_MARGINAL,111,-0.0013513513513513501,"[-0.01036036036036036, 0.007657657657657659]",0.8529614703852961,-0.02702702702702703,9,9,93,0,0
klaeger_delta_0_5,invariant_coverage_minus_original_marginal,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - ORIGINAL_MARGINAL,111,0.01936936936936937,"[-0.009909909909909908, 0.0518018018018018]",0.23513764862351377,0.38738738738738737,17,12,82,3,1
klaeger_delta_0_5,selective_invariant_minus_original_marginal,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - ORIGINAL_MARGINAL,111,1.50030138462859e-18,"[-0.023873873873873873, 0.02657657657657658]",1.0,0.0,12,13,86,2,1
klaeger_delta_0_5,selective_invariant_minus_original_coverage,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - ORIGINAL_COVERAGE,111,-0.022972972972972974,"[-0.046396396396396394, -0.004054054054054054]",0.03006969930300697,-0.4594594594594595,5,12,94,0,1
klaeger_leave10_nearest,invariant_marginal_minus_original_marginal,KLAEGER_CHEMBL30,INVARIANT_MARGINAL - ORIGINAL_MARGINAL,111,0.0018018018018017997,"[-0.003153153153153154, 0.006756756756756757]",0.6078739212607874,0.036036036036036036,7,5,99,0,0
klaeger_leave10_nearest,invariant_coverage_minus_original_marginal,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - ORIGINAL_MARGINAL,111,0.016666666666666663,"[-0.009459459459459462, 0.04144144144144144]",0.22881771182288177,0.3333333333333333,21,6,84,0,2
klaeger_leave10_nearest,selective_invariant_minus_original_marginal,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - ORIGINAL_MARGINAL,111,0.02072072072072072,"[0.002702702702702702, 0.03738738738738739]",0.01959980400195998,0.4144144144144144,19,3,89,0,1
klaeger_leave10_nearest,selective_invariant_minus_original_coverage,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - ORIGINAL_COVERAGE,111,-0.0022522522522522522,"[-0.02027027027027027, 0.015765765765765764]",0.8510614893851062,-0.04504504504504504,5,8,98,1,0
klaeger_primary_standard,invariant_marginal_minus_original_marginal,KLAEGER_CHEMBL30,INVARIANT_MARGINAL - ORIGINAL_MARGINAL,111,-0.019369369369369366,"[-0.03378378378378378, -0.007657657657657662]",0.0004599954000459995,-0.38738738738738737,4,17,90,0,0
klaeger_primary_standard,invariant_coverage_minus_original_marginal,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - ORIGINAL_MARGINAL,111,0.0018018018018018025,"[-0.022522522522522518, 0.023873873873873876]",0.911290887091129,0.036036036036036036,21,13,77,1,1
klaeger_primary_standard,selective_invariant_minus_original_marginal,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - ORIGINAL_MARGINAL,111,-0.0013513513513513506,"[-0.025225225225225224, 0.021621621621621612]",0.9425205747942521,-0.02702702702702703,20,13,78,1,1
klaeger_primary_standard,selective_invariant_minus_original_coverage,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - ORIGINAL_COVERAGE,111,-0.0022522522522522514,"[-0.018468468468468467, 0.015765765765765764]",0.8525814741852581,-0.04504504504504504,7,11,93,1,0
klaeger_scaffold_exclusion,invariant_marginal_minus_original_marginal,KLAEGER_CHEMBL30,INVARIANT_MARGINAL - ORIGINAL_MARGINAL,111,-0.019369369369369366,"[-0.03378378378378378, -0.008108108108108107]",0.0006099939000609993,-0.38738738738738737,4,17,90,0,0
klaeger_scaffold_exclusion,invariant_coverage_minus_original_marginal,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - ORIGINAL_MARGINAL,111,0.0013513513513513525,"[-0.021621621621621626, 0.02432432432432432]",0.9430905690943091,0.02702702702702703,21,14,76,1,1
klaeger_scaffold_exclusion,selective_invariant_minus_original_marginal,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - ORIGINAL_MARGINAL,111,-0.0018018018018018003,"[-0.025225225225225224, 0.020720720720720714]",0.913140868591314,-0.036036036036036036,20,14,77,1,1
klaeger_scaffold_exclusion,selective_invariant_minus_original_coverage,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - ORIGINAL_COVERAGE,111,-0.0031531531531531517,"[-0.020270270270270268, 0.01576576576576576]",0.7784222157778422,-0.06306306306306306,7,11,93,1,0
