condition,comparison_name,dataset,comparison,n,estimate,ci95,permutation_p_two_sided,mean_assays_earlier,wins,losses,ties,large_advance_ge_10,large_delay_ge_10
klaeger_delta_0_5,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.022972972972972974,"[-0.008558558558558558, 0.05630630630630631]",0.1774782252177478,0.4594594594594595,16,11,84,2,1
klaeger_delta_0_5,invariant_coverage_minus_invariant_marginal,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - INVARIANT_MARGINAL,111,0.02072072072072072,"[-0.00855855855855856, 0.05315315315315315]",0.2078579214207858,0.4144144144144144,12,11,88,3,1
klaeger_delta_0_5,invariant_coverage_minus_original_coverage,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - ORIGINAL_COVERAGE,111,-0.003603603603603605,"[-0.012612612612612612, 0.004954954954954954]",0.4944350556494435,-0.07207207207207207,5,10,96,0,0
klaeger_delta_0_5,selective_invariant_minus_invariant_marginal,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - INVARIANT_MARGINAL,111,0.0013513513513513516,"[-0.02252252252252252, 0.02702702702702703]",0.9460605393946061,0.02702702702702703,7,10,94,2,1
klaeger_leave10_nearest,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.022972972972972967,"[-0.004054054054054057, 0.04999999999999999]",0.1033789662103379,0.4594594594594595,22,6,83,0,2
klaeger_leave10_nearest,invariant_coverage_minus_invariant_marginal,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - INVARIANT_MARGINAL,111,0.014864864864864864,"[-0.010810810810810808, 0.039189189189189184]",0.26226737732622674,0.2972972972972973,21,6,84,0,2
klaeger_leave10_nearest,invariant_coverage_minus_original_coverage,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - ORIGINAL_COVERAGE,111,-0.006306306306306306,"[-0.01756756756756757, 5.001004615428633e-19]",0.1897181028189718,-0.12612612612612611,1,5,105,0,1
klaeger_leave10_nearest,selective_invariant_minus_invariant_marginal,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - INVARIANT_MARGINAL,111,0.018918918918918916,"[0.0018018018018018003, 0.03513513513513514]",0.02821971780282197,0.3783783783783784,15,1,95,0,1
klaeger_primary_standard,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.0009009009009009022,"[-0.025675675675675677, 0.02612612612612613]",0.976540234597654,0.018018018018018018,19,13,79,1,2
klaeger_primary_standard,invariant_coverage_minus_invariant_marginal,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - INVARIANT_MARGINAL,111,0.021171171171171167,"[-0.003603603603603603, 0.04415540540540524]",0.09464905350946491,0.42342342342342343,26,5,80,1,1
klaeger_primary_standard,invariant_coverage_minus_original_coverage,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - ORIGINAL_COVERAGE,111,0.0009009009009009012,"[-0.010810810810810808, 0.016216216216216214]",0.967230327696723,0.018018018018018018,6,9,96,1,0
klaeger_primary_standard,selective_invariant_minus_invariant_marginal,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - INVARIANT_MARGINAL,111,0.018018018018018018,"[-0.0049549549549549555, 0.04054054054054054]",0.13504864951350487,0.36036036036036034,21,4,86,1,1
klaeger_scaffold_exclusion,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.001351351351351353,"[-0.026126126126126126, 0.027477477477477474]",0.9491805081949181,0.02702702702702703,19,13,79,1,2
klaeger_scaffold_exclusion,invariant_coverage_minus_invariant_marginal,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - INVARIANT_MARGINAL,111,0.02072072072072072,"[-0.004054054054054056, 0.044144144144144144]",0.1032389676103239,0.4144144144144144,26,5,80,1,1
klaeger_scaffold_exclusion,invariant_coverage_minus_original_coverage,KLAEGER_CHEMBL30,INVARIANT_COVERAGE - ORIGINAL_COVERAGE,111,5.001004615428633e-19,"[-0.011711711711711712, 0.016216216216216214]",1.0,0.0,6,9,96,1,0
klaeger_scaffold_exclusion,selective_invariant_minus_invariant_marginal,KLAEGER_CHEMBL30,SELECTIVE_INVARIANT_COVERAGE - INVARIANT_MARGINAL,111,0.017567567567567565,"[-0.005405405405405402, 0.03963963963963964]",0.14606853931460687,0.35135135135135137,21,4,86,1,1
pkis2_gt80_sensitivity,original_coverage_minus_original_marginal,PKIS2,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,640,-0.026796875000000005,"[-0.04375, -0.010703124999999999]",0.0015999840001599984,-0.5359375,57,69,514,12,35
pkis2_gt80_sensitivity,invariant_coverage_minus_invariant_marginal,PKIS2,INVARIANT_COVERAGE - INVARIANT_MARGINAL,640,0.08171874999999999,"[0.05914062499999999, 0.10460937499999998]",9.99990000099999e-06,1.634375,207,49,384,68,24
pkis2_gt80_sensitivity,invariant_coverage_minus_original_coverage,PKIS2,INVARIANT_COVERAGE - ORIGINAL_COVERAGE,640,-0.04875,"[-0.06281250000000001, -0.035390625]",9.99990000099999e-06,-0.975,50,217,373,4,22
pkis2_gt80_sensitivity,selective_invariant_minus_invariant_marginal,PKIS2,SELECTIVE_INVARIANT_COVERAGE - INVARIANT_MARGINAL,640,0.08625,"[0.065546875, 0.10796874999999999]",9.99990000099999e-06,1.725,191,37,412,65,17
pkis2_gt90_chemotype,original_coverage_minus_original_marginal,PKIS2,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,640,0.053671874999999994,"[0.03406249999999999, 0.07406249999999999]",9.99990000099999e-06,1.0734375,187,48,405,55,25
pkis2_gt90_chemotype,invariant_coverage_minus_invariant_marginal,PKIS2,INVARIANT_COVERAGE - INVARIANT_MARGINAL,640,0.08054687499999999,"[0.058828124999999995, 0.10265820312499997]",9.99990000099999e-06,1.6109375,214,51,375,72,23
pkis2_gt90_chemotype,invariant_coverage_minus_original_coverage,PKIS2,INVARIANT_COVERAGE - ORIGINAL_COVERAGE,640,-0.022734374999999998,"[-0.03156249999999999, -0.014451171875000023]",9.99990000099999e-06,-0.4546875,48,93,499,0,7
pkis2_gt90_chemotype,selective_invariant_minus_invariant_marginal,PKIS2,SELECTIVE_INVARIANT_COVERAGE - INVARIANT_MARGINAL,640,0.07664062499999999,"[0.056171874999999996, 0.09687695312499997]",9.99990000099999e-06,1.5328125,179,39,422,66,16
pkis2_gt90_scaffold,original_coverage_minus_original_marginal,PKIS2,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,640,-0.002500000000000001,"[-0.020390625000000002, 0.01484570312499997]",0.7905620943790562,-0.05,113,64,463,23,32
pkis2_gt90_scaffold,invariant_coverage_minus_invariant_marginal,PKIS2,INVARIANT_COVERAGE - INVARIANT_MARGINAL,640,0.083203125,"[0.06015625, 0.105859375]",9.99990000099999e-06,1.6640625,238,51,351,73,28
pkis2_gt90_scaffold,invariant_coverage_minus_original_coverage,PKIS2,INVARIANT_COVERAGE - ORIGINAL_COVERAGE,640,-0.051875000000000004,"[-0.065, -0.0396875]",9.99990000099999e-06,-1.0375,48,189,403,3,20
pkis2_gt90_scaffold,selective_invariant_minus_invariant_marginal,PKIS2,SELECTIVE_INVARIANT_COVERAGE - INVARIANT_MARGINAL,640,0.086875,"[0.06695312499999999, 0.106640625]",9.99990000099999e-06,1.7375,212,32,396,64,15
pkis2_gt90_standard,original_coverage_minus_original_marginal,PKIS2,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,640,-0.014609375000000003,"[-0.030703124999999998, 0.0011718749999999971]",0.07592924070759292,-0.2921875,73,65,502,14,29
pkis2_gt90_standard,invariant_coverage_minus_invariant_marginal,PKIS2,INVARIANT_COVERAGE - INVARIANT_MARGINAL,640,0.07921874999999999,"[0.05804492187499999, 0.100859375]",9.99990000099999e-06,1.584375,235,52,353,66,27
pkis2_gt90_standard,invariant_coverage_minus_original_coverage,PKIS2,INVARIANT_COVERAGE - ORIGINAL_COVERAGE,640,-0.05648437500000001,"[-0.069921875, -0.044062500000000004]",9.99990000099999e-06,-1.1296875,45,221,374,1,18
pkis2_gt90_standard,selective_invariant_minus_invariant_marginal,PKIS2,SELECTIVE_INVARIANT_COVERAGE - INVARIANT_MARGINAL,640,0.084375,"[0.0646875, 0.10476757812499997]",9.99990000099999e-06,1.6875,211,35,394,62,16
