condition,comparison,n,estimate,ci95,permutation_p_two_sided,mean_assays_earlier,wins,losses,ties,large_advance_ge_10,large_delay_ge_10,ci95_low,ci95_high,p_holm_18_bounded_conditions
construct__gt80__nearest10,bounded_minus_marginal,356,-0.0033707865168539305,"[-0.015172050561797752, 0.008848314606741573]",0.5923440765592344,-0.06741573033707865,39,43,274,0,0,-0.015172050561797752,0.008848314606741573,1.0
construct__gt80__nearest10,unbounded_minus_marginal,356,-0.015168539325842698,"[-0.03497191011235955, 0.0037956460674156804]",0.12413875861241387,-0.30337078651685395,34,50,272,9,10,-0.03497191011235955,0.0037956460674156804,
construct__gt80__scaffold,bounded_minus_marginal,356,-0.007022471910112359,"[-0.015168539325842693, 0.0007022471910112351]",0.08256917430825692,-0.1404494382022472,13,25,318,0,0,-0.015168539325842693,0.0007022471910112351,0.8256917430825692
construct__gt80__scaffold,unbounded_minus_marginal,356,-0.028932584269662925,"[-0.0452247191011236, -0.014185393258426968]",0.00011999880001199988,-0.5786516853932584,11,28,317,0,11,-0.0452247191011236,-0.014185393258426968,
construct__gt80__standard,bounded_minus_marginal,356,-0.013202247191011233,"[-0.02219101123595505, -0.0049157303370786515]",0.002059979400205998,-0.2640449438202247,5,25,326,0,0,-0.02219101123595505,-0.0049157303370786515,0.030899691003089973
construct__gt80__standard,unbounded_minus_marginal,356,-0.04002808988764044,"[-0.05870786516853932, -0.022893258426966292]",9.99990000099999e-06,-0.800561797752809,3,28,325,0,15,-0.05870786516853932,-0.022893258426966292,
construct__gt90__nearest10,bounded_minus_marginal,356,-0.0014044943820224695,"[-0.013623595505617977, 0.011095505617977529]",0.8436215637843621,-0.028089887640449437,25,34,297,0,0,-0.013623595505617977,0.011095505617977529,1.0
construct__gt90__nearest10,unbounded_minus_marginal,356,-0.0030898876404494373,"[-0.021910112359550562, 0.01558988764044944]",0.7605423945760542,-0.06179775280898876,32,35,289,8,12,-0.021910112359550562,0.01558988764044944,
construct__gt90__scaffold,bounded_minus_marginal,356,-0.007724719101123594,"[-0.017840589887640444, 0.0021067415730337087]",0.13929860701392985,-0.1544943820224719,13,19,324,0,0,-0.017840589887640444,0.0021067415730337087,1.0
construct__gt90__scaffold,unbounded_minus_marginal,356,-0.013342696629213481,"[-0.03019662921348314, 0.0025280898876404493]",0.11239887601123989,-0.26685393258426965,14,20,322,5,8,-0.03019662921348314,0.0025280898876404493,
construct__gt90__standard,bounded_minus_marginal,356,-0.008988764044943818,"[-0.018679775280898873, 3.5112359550071947e-06]",0.06497935020649794,-0.1797752808988764,12,18,326,0,0,-0.018679775280898873,3.5112359550071947e-06,0.7147728522714772
construct__gt90__standard,unbounded_minus_marginal,356,-0.017134831460674158,"[-0.03314606741573033, -0.0025280898876404484]",0.027029729702702975,-0.34269662921348315,12,20,324,2,8,-0.03314606741573033,-0.0025280898876404484,
