condition,comparison,metric,n,estimate,ci95_low,ci95_high
construct__gt80__nearest10,bounded_minus_marginal,audc_1_20,356,-0.0033707865168539305,-0.015028089887640449,0.008426966292134833
construct__gt80__nearest10,bounded_minus_marginal,hit_at_1,356,0.0028089887640449437,0.0,0.008426966292134831
construct__gt80__nearest10,bounded_minus_marginal,hit_at_3,356,-0.03089887640449438,-0.06179775280898876,-0.0028089887640449437
construct__gt80__nearest10,bounded_minus_marginal,hit_at_5,356,-0.028089887640449437,-0.05337078651685393,-0.0028089887640449437
construct__gt80__nearest10,bounded_minus_marginal,hit_at_10,356,0.0028089887640449437,-0.02247191011235955,0.025280898876404494
construct__gt80__nearest10,bounded_minus_marginal,hit_at_20,356,0.019662921348314606,0.0056179775280898875,0.03651685393258427
construct__gt80__nearest10,unbounded_minus_marginal,audc_1_20,356,-0.015168539325842698,-0.03412921348314607,0.0033742977528089407
construct__gt80__nearest10,unbounded_minus_marginal,hit_at_1,356,0.0028089887640449437,0.0,0.008426966292134831
construct__gt80__nearest10,unbounded_minus_marginal,hit_at_3,356,-0.0449438202247191,-0.07865168539325842,-0.011235955056179775
construct__gt80__nearest10,unbounded_minus_marginal,hit_at_5,356,-0.056179775280898875,-0.0898876404494382,-0.025280898876404494
construct__gt80__nearest10,unbounded_minus_marginal,hit_at_10,356,-0.011235955056179775,-0.03932584269662921,0.016853932584269662
construct__gt80__nearest10,unbounded_minus_marginal,hit_at_20,356,0.0,-0.02247191011235955,0.02247191011235955
construct__gt80__scaffold,bounded_minus_marginal,audc_1_20,356,-0.007022471910112359,-0.015028089887640449,0.0005617977528089889
construct__gt80__scaffold,bounded_minus_marginal,hit_at_1,356,0.0,0.0,0.0
construct__gt80__scaffold,bounded_minus_marginal,hit_at_3,356,-0.016853932584269662,-0.03651685393258427,0.0028089887640449437
construct__gt80__scaffold,bounded_minus_marginal,hit_at_5,356,-0.019662921348314606,-0.03932584269662921,-0.0028089887640449437
construct__gt80__scaffold,bounded_minus_marginal,hit_at_10,356,0.0,-0.014044943820224719,0.014044943820224719
construct__gt80__scaffold,bounded_minus_marginal,hit_at_20,356,0.0,-0.008426966292134831,0.008426966292134831
construct__gt80__scaffold,unbounded_minus_marginal,audc_1_20,356,-0.028932584269662925,-0.04564606741573034,-0.014325842696629213
construct__gt80__scaffold,unbounded_minus_marginal,hit_at_1,356,0.0,0.0,0.0
construct__gt80__scaffold,unbounded_minus_marginal,hit_at_3,356,-0.02247191011235955,-0.0449438202247191,-0.0028089887640449437
construct__gt80__scaffold,unbounded_minus_marginal,hit_at_5,356,-0.03932584269662921,-0.06179775280898876,-0.016853932584269662
construct__gt80__scaffold,unbounded_minus_marginal,hit_at_10,356,-0.028089887640449437,-0.047752808988764044,-0.014044943820224719
construct__gt80__scaffold,unbounded_minus_marginal,hit_at_20,356,-0.03089887640449438,-0.05056179775280899,-0.014044943820224719
construct__gt80__standard,bounded_minus_marginal,audc_1_20,356,-0.013202247191011233,-0.021913623595505614,-0.004915730337078651
construct__gt80__standard,bounded_minus_marginal,hit_at_1,356,0.0,0.0,0.0
construct__gt80__standard,bounded_minus_marginal,hit_at_3,356,-0.025280898876404494,-0.047752808988764044,-0.0056179775280898875
construct__gt80__standard,bounded_minus_marginal,hit_at_5,356,-0.033707865168539325,-0.056179775280898875,-0.014044943820224719
construct__gt80__standard,bounded_minus_marginal,hit_at_10,356,-0.014044943820224719,-0.028089887640449437,0.0
construct__gt80__standard,bounded_minus_marginal,hit_at_20,356,0.0,-0.008426966292134831,0.008426966292134831
construct__gt80__standard,unbounded_minus_marginal,audc_1_20,356,-0.04002808988764044,-0.05912921348314606,-0.023033707865168538
construct__gt80__standard,unbounded_minus_marginal,hit_at_1,356,0.0,0.0,0.0
construct__gt80__standard,unbounded_minus_marginal,hit_at_3,356,-0.033707865168539325,-0.056179775280898875,-0.014044943820224719
construct__gt80__standard,unbounded_minus_marginal,hit_at_5,356,-0.05056179775280899,-0.07584269662921349,-0.03089887640449438
construct__gt80__standard,unbounded_minus_marginal,hit_at_10,356,-0.0449438202247191,-0.06741573033707865,-0.025280898876404494
construct__gt80__standard,unbounded_minus_marginal,hit_at_20,356,-0.03651685393258427,-0.056179775280898875,-0.019662921348314606
construct__gt90__nearest10,bounded_minus_marginal,audc_1_20,356,-0.0014044943820224695,-0.01362710674157303,0.010955056179775283
construct__gt90__nearest10,bounded_minus_marginal,hit_at_1,356,0.0,0.0,0.0
construct__gt90__nearest10,bounded_minus_marginal,hit_at_3,356,-0.025280898876404494,-0.0449438202247191,-0.0056179775280898875
construct__gt90__nearest10,bounded_minus_marginal,hit_at_5,356,-0.016853932584269662,-0.033707865168539325,0.0
construct__gt90__nearest10,bounded_minus_marginal,hit_at_10,356,0.0,-0.025280898876404494,0.025280898876404494
construct__gt90__nearest10,bounded_minus_marginal,hit_at_20,356,0.0028089887640449437,-0.008426966292134831,0.01411516853932482
construct__gt90__nearest10,unbounded_minus_marginal,audc_1_20,356,-0.0030898876404494373,-0.02219101123595505,0.01558988764044944
construct__gt90__nearest10,unbounded_minus_marginal,hit_at_1,356,0.0,0.0,0.0
construct__gt90__nearest10,unbounded_minus_marginal,hit_at_3,356,-0.028089887640449437,-0.047752808988764044,-0.008426966292134831
construct__gt90__nearest10,unbounded_minus_marginal,hit_at_5,356,-0.014044943820224719,-0.03651685393258427,0.0056179775280898875
construct__gt90__nearest10,unbounded_minus_marginal,hit_at_10,356,0.0,-0.028089887640449437,0.028089887640449437
construct__gt90__nearest10,unbounded_minus_marginal,hit_at_20,356,-0.014044943820224719,-0.042134831460674156,0.011235955056179775
construct__gt90__scaffold,bounded_minus_marginal,audc_1_20,356,-0.007724719101123594,-0.017696629213483143,0.0022471910112359557
construct__gt90__scaffold,bounded_minus_marginal,hit_at_1,356,0.0,0.0,0.0
construct__gt90__scaffold,bounded_minus_marginal,hit_at_3,356,-0.019662921348314606,-0.042134831460674156,0.0
construct__gt90__scaffold,bounded_minus_marginal,hit_at_5,356,-0.028089887640449437,-0.047752808988764044,-0.008426966292134831
construct__gt90__scaffold,bounded_minus_marginal,hit_at_10,356,-0.019662921348314606,-0.03932584269662921,-0.0028089887640449437
construct__gt90__scaffold,bounded_minus_marginal,hit_at_20,356,0.0056179775280898875,-0.008426966292134831,0.019662921348314606
construct__gt90__scaffold,unbounded_minus_marginal,audc_1_20,356,-0.013342696629213481,-0.029775280898876405,0.002106741573033709
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_1,356,0.0,0.0,0.0
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_3,356,-0.025280898876404494,-0.047752808988764044,-0.0056179775280898875
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_5,356,-0.03651685393258427,-0.05898876404494382,-0.016853932584269662
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_10,356,-0.008426966292134831,-0.03089887640449438,0.014044943820224719
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_20,356,-0.011235955056179775,-0.03089887640449438,0.008426966292134831
construct__gt90__standard,bounded_minus_marginal,audc_1_20,356,-0.008988764044943818,-0.01839887640449438,1.8789589110579114e-18
construct__gt90__standard,bounded_minus_marginal,hit_at_1,356,0.0028089887640449437,0.0,0.008426966292134831
construct__gt90__standard,bounded_minus_marginal,hit_at_3,356,-0.025280898876404494,-0.047752808988764044,-0.0056179775280898875
