condition,resolution,threshold_gt,exclusion,n,mean_positive_targets,median_positive_targets,fraction_compounds_with_any_positive,mean_positive_fraction_among_observed
construct__gt80__nearest10,construct,80,nearest10,356,4.064606741573034,1.0,0.6460674157303371,0.018160530069996867
construct__gt80__scaffold,construct,80,scaffold,356,4.064606741573034,1.0,0.6460674157303371,0.018160530069996867
construct__gt80__standard,construct,80,standard,356,4.064606741573034,1.0,0.6460674157303371,0.018160530069996867
construct__gt90__nearest10,construct,90,nearest10,356,1.6123595505617978,0.0,0.4410112359550562,0.0072043344220027086
construct__gt90__scaffold,construct,90,scaffold,356,1.6123595505617978,0.0,0.4410112359550562,0.0072043344220027086
construct__gt90__standard,construct,90,standard,356,1.6123595505617978,0.0,0.4410112359550562,0.0072043344220027086
parent__gt50__nearest10,parent,50,nearest10,356,10.00561797752809,3.0,0.8595505617977528,0.05006319618749747
parent__gt50__scaffold,parent,50,scaffold,356,10.00561797752809,3.0,0.8595505617977528,0.05006319618749747
parent__gt50__standard,parent,50,standard,356,10.00561797752809,3.0,0.8595505617977528,0.05006319618749747
parent__gt70__nearest10,parent,70,nearest10,356,5.443820224719101,2.0,0.7696629213483146,0.02723774430545646
parent__gt70__scaffold,parent,70,scaffold,356,5.443820224719101,2.0,0.7696629213483146,0.02723774430545646
parent__gt70__standard,parent,70,standard,356,5.443820224719101,2.0,0.7696629213483146,0.02723774430545646
parent__gt80__nearest10,parent,80,nearest10,356,3.241573033707865,1.0,0.6460674157303371,0.016219165427637565
parent__gt80__scaffold,parent,80,scaffold,356,3.241573033707865,1.0,0.6460674157303371,0.016219165427637565
parent__gt80__standard,parent,80,standard,356,3.241573033707865,1.0,0.6460674157303371,0.016219165427637565
parent__gt90__nearest10,parent,90,nearest10,356,1.3651685393258426,0.0,0.4410112359550562,0.006830574960832993
parent__gt90__scaffold,parent,90,scaffold,356,1.3651685393258426,0.0,0.4410112359550562,0.006830574960832993
parent__gt90__standard,parent,90,standard,356,1.3651685393258426,0.0,0.4410112359550562,0.006830574960832993
