condition,comparison,metric,n,estimate,ci95_low,ci95_high
construct__gt90__standard,bounded_minus_marginal,audc_1_20,640,0.0052343749999999994,-0.0025781250000000006,0.013203125
construct__gt90__standard,bounded_minus_marginal,hit_at_1,640,0.0,0.0,0.0
construct__gt90__standard,bounded_minus_marginal,hit_at_3,640,0.01875,0.0,0.0390625
construct__gt90__standard,bounded_minus_marginal,hit_at_5,640,0.00625,-0.0125,0.025
construct__gt90__standard,bounded_minus_marginal,hit_at_10,640,0.0,-0.015625,0.015625
construct__gt90__standard,bounded_minus_marginal,hit_at_20,640,0.00625,-0.0015625,0.015625
construct__gt90__standard,unbounded_minus_marginal,audc_1_20,640,-0.01328125,-0.029140624999999996,0.0021874999999999998
construct__gt90__standard,unbounded_minus_marginal,hit_at_1,640,0.0,0.0,0.0
construct__gt90__standard,unbounded_minus_marginal,hit_at_3,640,0.0109375,-0.009375,0.0328125
construct__gt90__standard,unbounded_minus_marginal,hit_at_5,640,-0.0140625,-0.0328125,0.0046875
construct__gt90__standard,unbounded_minus_marginal,hit_at_10,640,-0.021875,-0.0421875,0.0
construct__gt90__standard,unbounded_minus_marginal,hit_at_20,640,-0.0171875,-0.0390625,0.0046875
construct__gt80__standard,bounded_minus_marginal,audc_1_20,640,0.0010156250000000013,-0.006562499999999999,0.008517578124999974
construct__gt80__standard,bounded_minus_marginal,hit_at_1,640,0.0,0.0,0.0
construct__gt80__standard,bounded_minus_marginal,hit_at_3,640,0.0140625,-0.0046875,0.0328125
construct__gt80__standard,bounded_minus_marginal,hit_at_5,640,0.0015625,-0.015625,0.01875
construct__gt80__standard,bounded_minus_marginal,hit_at_10,640,0.003125,-0.0125,0.01875
construct__gt80__standard,bounded_minus_marginal,hit_at_20,640,-0.0046875,-0.0109375,0.0
construct__gt80__standard,unbounded_minus_marginal,audc_1_20,640,-0.024375,-0.04109375,-0.008359374999999999
construct__gt80__standard,unbounded_minus_marginal,hit_at_1,640,0.0,0.0,0.0
construct__gt80__standard,unbounded_minus_marginal,hit_at_3,640,-0.003125,-0.025,0.01875
construct__gt80__standard,unbounded_minus_marginal,hit_at_5,640,-0.0140625,-0.034375,0.0046875
construct__gt80__standard,unbounded_minus_marginal,hit_at_10,640,-0.0296875,-0.0515625,-0.0078125
construct__gt80__standard,unbounded_minus_marginal,hit_at_20,640,-0.028125,-0.0484375,-0.0078125
construct__gt90__scaffold,bounded_minus_marginal,audc_1_20,640,0.010937499999999998,0.002656249999999996,0.019374999999999996
construct__gt90__scaffold,bounded_minus_marginal,hit_at_1,640,0.0,0.0,0.0
construct__gt90__scaffold,bounded_minus_marginal,hit_at_3,640,0.046875,0.0234375,0.071875
construct__gt90__scaffold,bounded_minus_marginal,hit_at_5,640,0.0109375,-0.009375,0.03125
construct__gt90__scaffold,bounded_minus_marginal,hit_at_10,640,0.0,-0.0140625,0.015625
construct__gt90__scaffold,bounded_minus_marginal,hit_at_20,640,0.009375,-0.0015625,0.0203125
construct__gt90__scaffold,unbounded_minus_marginal,audc_1_20,640,-0.00039062500000000067,-0.017734375000000004,0.016640624999999996
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_1,640,0.0,0.0,0.0
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_3,640,0.0453125,0.021875,0.0703125
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_5,640,-0.0046875,-0.0265625,0.0171875
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_10,640,-0.0140625,-0.0375,0.009375
construct__gt90__scaffold,unbounded_minus_marginal,hit_at_20,640,0.0046875,-0.01875,0.0296875
construct__gt90__chemotype,bounded_minus_marginal,audc_1_20,640,0.044218749999999994,0.03359374999999999,0.05499999999999999
construct__gt90__chemotype,bounded_minus_marginal,hit_at_1,640,0.0,0.0,0.0
construct__gt90__chemotype,bounded_minus_marginal,hit_at_3,640,0.071875,0.05,0.09375
construct__gt90__chemotype,bounded_minus_marginal,hit_at_5,640,0.0328125,0.0140625,0.053125
construct__gt90__chemotype,bounded_minus_marginal,hit_at_10,640,0.0515625,0.029648437500000034,0.075
construct__gt90__chemotype,bounded_minus_marginal,hit_at_20,640,0.0203125,0.0078125,0.0328125
construct__gt90__chemotype,unbounded_minus_marginal,audc_1_20,640,0.05515625,0.035078124999999995,0.07484570312499997
construct__gt90__chemotype,unbounded_minus_marginal,hit_at_1,640,0.0,0.0,0.0
construct__gt90__chemotype,unbounded_minus_marginal,hit_at_3,640,0.0703125,0.0484375,0.09375
construct__gt90__chemotype,unbounded_minus_marginal,hit_at_5,640,0.05625,0.03125,0.08125
construct__gt90__chemotype,unbounded_minus_marginal,hit_at_10,640,0.0578125,0.0296875,0.0875
construct__gt90__chemotype,unbounded_minus_marginal,hit_at_20,640,0.0453125,0.01875,0.071875
