condition,comparison_name,dataset,comparison,metric,n,estimate,ci95,permutation_p_two_sided,holm_p_across_8_conditions
klaeger_delta_0_5,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,audc_1_20,111,0.018018018018018014,"[-0.0018018018018018003, 0.038288288288288286]",0.08773912260877391,0.2632173678263217
klaeger_delta_0_5,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_1,111,0.0,"[0.0, 0.0]",1.0,1.0
klaeger_delta_0_5,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_3,111,0.02702702702702703,"[-0.009009009009009009, 0.07207207207207207]",0.3777662223377766,1.0
klaeger_delta_0_5,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_5,111,0.04504504504504504,"[0.0, 0.09009009009009009]",0.12154878451215488,0.7292927070729293
klaeger_delta_0_5,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_10,111,0.018018018018018018,"[-0.018018018018018018, 0.05405405405405406]",0.6235637643623564,1.0
klaeger_delta_0_5,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_20,111,0.009009009009009009,"[-0.018018018018018018, 0.04504504504504504]",1.0,1.0
klaeger_delta_0_5,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,audc_1_20,111,-0.004954954954954961,"[-0.036486486486486495, 0.02387387387387387]",0.7750422495775042,0.9776902230977691
klaeger_delta_0_5,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_1,111,0.0,"[0.0, 0.0]",1.0,1.0
klaeger_delta_0_5,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_3,111,-0.009009009009009009,"[-0.02702702702702703, 0.0]",1.0,1.0
klaeger_delta_0_5,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_5,111,-0.009009009009009009,"[-0.04504504504504504, 0.018018018018018018]",1.0,1.0
