condition,comparison_name,dataset,comparison,n,estimate,ci95,permutation_p_two_sided,mean_assays_earlier,wins,losses,ties,large_advance_ge_10,large_delay_ge_10
klaeger_delta_0_5,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.022972972972972974,"[-0.008558558558558554, 0.05630630630630631]",0.17802821971780283,0.4594594594594595,16,11,84,2,1
klaeger_delta_0_5,bounded_coverage_minus_original_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,111,0.018018018018018014,"[-0.0013513513513513536, 0.039189189189189184]",0.08701912980870191,0.36036036036036034,15,7,89,0,0
klaeger_delta_0_5,risk_controlled_minus_original_marginal,KLAEGER_CHEMBL30,RISK_CONTROLLED_COVERAGE - ORIGINAL_MARGINAL,111,0.001801801801801801,"[-0.006306306306306306, 0.009909909909909908]",1.0,0.036036036036036036,2,1,108,0,0
klaeger_delta_0_5,risk_controlled_minus_original_coverage,KLAEGER_CHEMBL30,RISK_CONTROLLED_COVERAGE - ORIGINAL_COVERAGE,111,-0.021171171171171174,"[-0.05405405405405406, 0.010810810810810804]",0.2215677843221568,-0.42342342342342343,12,15,84,2,2
klaeger_leave10_nearest,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.022972972972972967,"[-0.004054054054054054, 0.04909909909909909]",0.1033189668103319,0.4594594594594595,22,6,83,0,2
klaeger_leave10_nearest,bounded_coverage_minus_original_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,111,0.04009009009009008,"[0.021171171171171174, 0.0608108108108108]",1.999980000199998e-05,0.8018018018018018,24,4,83,0,0
klaeger_leave10_nearest,risk_controlled_minus_original_marginal,KLAEGER_CHEMBL30,RISK_CONTROLLED_COVERAGE - ORIGINAL_MARGINAL,111,0.026576576576576576,"[0.011261261261261259, 0.04369369369369369]",0.0012599874001259987,0.5315315315315315,18,4,89,0,0
klaeger_leave10_nearest,risk_controlled_minus_original_coverage,KLAEGER_CHEMBL30,RISK_CONTROLLED_COVERAGE - ORIGINAL_COVERAGE,111,0.003603603603603603,"[-0.01756756756756757, 0.02612612612612613]",0.7885421145788543,0.07207207207207207,6,7,98,1,0
klaeger_primary_standard,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.0009009009009009022,"[-0.02747747747747747, 0.027477477477477474]",0.9739102608973911,0.018018018018018018,19,13,79,1,2
klaeger_primary_standard,bounded_coverage_minus_original_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,111,0.013063063063063056,"[0.00045045045045044786, 0.02567567567567567]",0.05300946990530095,0.26126126126126126,19,10,82,0,0
klaeger_primary_standard,risk_controlled_minus_original_marginal,KLAEGER_CHEMBL30,RISK_CONTROLLED_COVERAGE - ORIGINAL_MARGINAL,111,0.007207207207207207,"[0.0013513513513513516, 0.014414414414414413]",0.06320936790632094,0.14414414414414414,5,0,106,0,0
klaeger_primary_standard,risk_controlled_minus_original_coverage,KLAEGER_CHEMBL30,RISK_CONTROLLED_COVERAGE - ORIGINAL_COVERAGE,111,0.006306306306306305,"[-0.01981981981981982, 0.032432432432432434]",0.6817731822681773,0.12612612612612611,14,14,83,2,1
klaeger_scaffold_exclusion,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.001351351351351353,"[-0.02568693693693693, 0.02792792792792792]",0.9495405045949541,0.02702702702702703,19,13,79,1,2
klaeger_scaffold_exclusion,bounded_coverage_minus_original_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,111,0.013513513513513506,"[0.00045045045045045084, 0.026126126126126123]",0.04630953690463095,0.2702702702702703,19,10,82,0,0
