condition,comparison_name,dataset,comparison,n,estimate,ci95,permutation_p_two_sided,mean_assays_earlier,wins,losses,ties,large_advance_ge_10,large_delay_ge_10
klaeger_delta_0_5,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.022972972972972974,"[-0.008108108108108103, 0.05540540540540541]",0.17835821641783584,0.4594594594594595,16,11,84,2,1
klaeger_delta_0_5,safe_coverage_minus_original_marginal,KLAEGER_CHEMBL30,SAFE_COVERAGE - ORIGINAL_MARGINAL,111,-0.00900900900900901,"[-0.02702702702702703, 0.006306306306306303]",0.3376366236337637,-0.18018018018018017,3,5,103,0,1
klaeger_delta_0_5,safe_coverage_minus_original_coverage,KLAEGER_CHEMBL30,SAFE_COVERAGE - ORIGINAL_COVERAGE,111,-0.03198198198198198,"[-0.060810810810810814, -0.006756756756756759]",0.02043979560204398,-0.6396396396396397,6,13,92,0,2
klaeger_leave10_nearest,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.022972972972972967,"[-0.0036036036036036037, 0.04909909909909909]",0.1048189518104819,0.4594594594594595,22,6,83,0,2
klaeger_leave10_nearest,safe_coverage_minus_original_marginal,KLAEGER_CHEMBL30,SAFE_COVERAGE - ORIGINAL_MARGINAL,111,0.004054054054054054,"[-0.0009009009009009007, 0.011711711711711712]",0.5006749932500675,0.08108108108108109,2,1,108,0,0
klaeger_leave10_nearest,safe_coverage_minus_original_coverage,KLAEGER_CHEMBL30,SAFE_COVERAGE - ORIGINAL_COVERAGE,111,-0.018918918918918916,"[-0.0445945945945946, 0.007207207207207207]",0.17117828821711784,-0.3783783783783784,5,20,86,2,0
klaeger_primary_standard,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.0009009009009009022,"[-0.026126126126126126, 0.02702702702702703]",0.974580254197458,0.018018018018018018,19,13,79,1,2
klaeger_primary_standard,safe_coverage_minus_original_marginal,KLAEGER_CHEMBL30,SAFE_COVERAGE - ORIGINAL_MARGINAL,111,-0.00045045045045045084,"[-0.002702702702702702, 0.0013513513513513495]",1.0,-0.009009009009009009,1,1,109,0,0
klaeger_primary_standard,safe_coverage_minus_original_coverage,KLAEGER_CHEMBL30,SAFE_COVERAGE - ORIGINAL_COVERAGE,111,-0.001351351351351352,"[-0.02792792792792792, 0.02567567567567568]",0.9498905010949891,-0.02702702702702703,12,18,81,2,1
klaeger_scaffold_exclusion,original_coverage_minus_original_marginal,KLAEGER_CHEMBL30,ORIGINAL_COVERAGE - ORIGINAL_MARGINAL,111,0.001351351351351353,"[-0.02522522522522523, 0.027477477477477474]",0.9492005079949201,0.02702702702702703,19,13,79,1,2
